title,categoryName,city,totalScore,reviewsCount
Waroeng Semawis,Night market,Kota Semarang,4.5,9662.0
Obyek Wisata Goa Kreo,Tourist attraction,Kota Semarang,4.3,8084.0
"Kasunanan Palace, Surakarta Hadiningrat",Historical place museum,Kota Surakarta,4.6,16760.0
"Pasar Klewer, Solo",Traditional market,Kota Surakarta,4.5,10642.0
Pura Mangkunagaran,Historical landmark,Kota Surakarta,4.7,10323.0
Gede Hardjonagoro Market,Traditional market,Kota Surakarta,4.6,24569.0
House of Danar Hadi,Museum,Kota Surakarta,4.7,2592.0
Batik Shop Danar Hadi Slamet Riyadi,Boutique,Kota Surakarta,4.4,154.0
Pusat Batik Danar Hadi Solo,Clothing store,Kota Surakarta,4.5,114.0
Balekambang Park,City park,Kota Surakarta,4.5,3980.0
Forum Kampoeng Batik Laweyan,Association / Organization,Kota Surakarta,4.4,327.0
Pantai Nampu,Tourist attraction,Kabupaten Wonogiri,4.5,4308.0
